2019-09-14,[-634.]
2019-09-16,[1029.]
2019-09-17,[-211.]
2019-09-18,[0.]
2019-09-19,[-494.]
2019-09-20,[323.]
2019-09-21,[-634.]
2019-09-23,[1149.]
2019-09-24,[-348.]
2019-09-25,[-52.]
2019-09-26,[-52.]
2019-09-27,[-85.]
2019-09-28,[-590.]
2019-09-30,[1053.]
2019-01-10,[-348.]
2019-02-10,[-68.]
2019-03-10,[-1017.]
2019-04-10,[1249.]
2019-05-10,[-835.]
2019-07-10,[1098.]
2019-08-10,[-354.]
2019-09-10,[-22.]
2019-10-10,[-114.]
2019-11-10,[-22.]
2019-12-10,[-671.]
2019-10-14,[922.]
2019-10-15,[-202.]
2019-10-16,[61.]
2019-10-17,[-52.]
2019-10-18,[-105.]
2019-10-19,[-561.]
2019-10-21,[1097.]
2019-10-22,[-348.]
2019-10-23,[-54.]
2019-10-24,[-50.]
2019-10-25,[-28.]
2019-10-26,[-700.]
2019-10-28,[1169.]
2019-10-29,[-308.]
2019-10-30,[-87.]
2019-10-31,[-280.]
2019-01-11,[-301.]
2019-02-11,[-54.]
2019-04-11,[1139.]
2019-05-11,[-420.]
2019-06-11,[17.]
2019-07-11,[-119.]
2019-08-11,[-39.]
2019-09-11,[-605.]
2019-11-11,[1142.]
2019-12-11,[-356.]
2019-11-13,[7.]
2019-11-14,[-77.]
2019-11-15,[-175.]
2019-11-16,[-568.]
2019-11-18,[1242.]
2019-11-19,[-458.]
2019-11-20,[72.]
2019-11-21,[-90.]
2019-11-22,[-24.]
2019-11-23,[-686.]
2019-11-25,[1221.]
2019-11-26,[-404.]
2019-11-27,[103.]
2019-11-28,[-145.]
2019-11-29,[253.]
2019-11-30,[-949.]
2019-02-12,[1360.]
2019-03-12,[-400.]
2019-04-12,[-20.]
2019-05-12,[-186.]
2019-06-12,[-173.]
2019-07-12,[-624.]
2019-09-12,[1458.]
2019-10-12,[-547.]
2019-11-12,[-52.]
2019-12-12,[-127.]
2019-12-13,[-113.]
2019-12-14,[-660.]
2019-12-16,[1167.]
2019-12-17,[-366.]
2019-12-18,[-38.]
2019-12-19,[-147.]
2019-12-20,[-59.]
2019-12-21,[-588.]
2019-12-23,[625.]
2019-12-24,[-934.]
2019-12-27,[1291.]
2019-12-28,[-884.]
2019-12-30,[863.]
2019-12-31,[-1093.]
2020-02-01,[1365.]
2020-03-01,[-294.]
2020-04-01,[-741.]
2020-06-01,[748.]
2020-07-01,[212.]
2020-08-01,[1.]
2020-09-01,[34.]
2020-10-01,[-327.]
2020-11-01,[-782.]
2020-01-13,[1300.]
2020-01-14,[-419.]
2020-01-15,[-21.]
