date,volume
2019-05-05,30622.0
2019-05-06,30651.535714285714
2019-05-07,30681.071428571428
2019-05-08,30710.60714285714
2019-05-09,30740.14285714286
2019-05-10,30769.678571428572
2019-05-11,30799.214285714286
2019-05-12,30828.75
2019-05-13,30858.285714285714
2019-05-14,30887.821428571428
2019-05-15,30917.35714285714
2019-05-16,30946.89285714286
2019-05-17,30976.428571428572
2019-05-18,31005.964285714286
2019-05-19,31035.5
2019-05-20,31065.035714285714
2019-05-21,31094.571428571428
2019-05-22,31124.10714285714
2019-05-23,31153.64285714286
2019-05-24,31183.178571428572
2019-05-25,31212.714285714286
2019-05-26,31242.25
2019-05-27,31271.785714285714
2019-05-28,31301.321428571428
2019-05-29,31330.85714285714
2019-05-30,31360.39285714286
2019-05-31,31389.928571428572
2019-06-01,31419.464285714286
2019-06-02,31449.0
2019-06-03,31483.17142857143
2019-06-04,31517.342857142856
2019-06-05,31551.514285714286
2019-06-06,31585.685714285715
2019-06-07,31619.857142857145
2019-06-08,31654.02857142857
2019-06-09,31688.2
2019-06-10,31722.37142857143
2019-06-11,31756.542857142857
2019-06-12,31790.714285714286
2019-06-13,31824.885714285716
2019-06-14,31859.057142857146
2019-06-15,31893.22857142857
2019-06-16,31927.4
2019-06-17,31961.57142857143
2019-06-18,31995.742857142857
2019-06-19,32029.914285714287
2019-06-20,32064.085714285713
2019-06-21,32098.257142857143
2019-06-22,32132.42857142857
2019-06-23,32166.6
2019-06-24,32200.77142857143
2019-06-25,32234.942857142854
2019-06-26,32269.114285714284
2019-06-27,32303.285714285714
2019-06-28,32337.457142857143
2019-06-29,32371.62857142857
2019-06-30,32405.8
2019-07-01,32439.97142857143
2019-07-02,32474.142857142855
2019-07-03,32508.314285714285
2019-07-04,32542.485714285714
2019-07-05,32576.657142857144
2019-07-06,32610.82857142857
2019-07-07,32645.0
