date,volume
2019-12-03,1583
2019-12-04,1563
2019-12-05,1377
2019-12-06,1204
2019-12-07,580
2019-12-08,
2019-12-09,2038
2019-12-10,1491
2019-12-11,1439
2019-12-12,1312
2019-12-13,1199
2019-12-14,539
2019-12-15,
2019-12-16,1706
2019-12-17,1340
2019-12-18,1302
2019-12-19,1155
2019-12-20,1096
2019-12-21,508
2019-12-22,
2019-12-23,1133
2019-12-24,199
2019-12-25,
2019-12-26,
2019-12-27,1490
2019-12-28,606
2019-12-29,
2019-12-30,1469
2019-12-31,376
2020-01-01,
2020-01-02,1741
2020-01-03,1447
2020-01-04,706
2020-01-05,
2020-01-06,1454
2020-01-07,1666
2020-01-08,1667
2020-01-09,1701
2020-01-10,1374
2020-01-11,592
2020-01-12,
2020-01-13,1892
2020-01-14,1473
2020-01-15,1452
2020-01-16,1187
2020-01-17,1178
2020-01-18,586
2020-01-19,
2020-01-20,1836
2020-01-21,1315
2020-01-22,1366
2020-01-23,1230
2020-01-24,1166
2020-01-25,549
2020-01-26,
2020-01-27,1780
2020-01-28,1386
2020-01-29,1236
2020-01-30,1126
2020-01-31,1066
2020-02-01,530
2020-02-02,
2020-02-03,1708
2020-02-04,1340
2020-02-05,1203
2020-02-06,1169
2020-02-07,1019
2020-02-08,533
2020-02-09,
2020-02-10,1645
2020-02-11,1275
2020-02-12,1279
2020-02-13,1070
2020-02-14,1044
2020-02-15,442
2020-02-16,
2020-02-17,1565
2020-02-18,1259
2020-02-19,1185
2020-02-20,1028
2020-02-21,1017
2020-02-22,438
2020-02-23,
2020-02-24,1376
2020-02-25,1246
2020-02-26,1238
2020-02-27,1110
2020-02-28,962
2020-02-29,480
2020-03-01,
2020-03-02,1672
2020-03-03,1252
2020-03-04,1174
2020-03-05,1170
2020-03-06,1093
2020-03-07,518
2020-03-08,
2020-03-09,1499
2020-03-10,1231
2020-03-11,1129
2020-03-12,1050
2020-03-13,871
2020-03-14,396
2020-03-15,
2020-03-16,1104
2020-03-17,916
2020-03-18,890
2020-03-19,896
2020-03-20,889
2020-03-21,483
2020-03-22,
2020-03-23,1558
2020-03-24,1189
2020-03-25,1181
2020-03-26,1249
2020-03-27,1016
2020-03-28,
2020-03-29,
2020-03-30,1910
2020-03-31,1326
2020-04-01,1250
2020-04-02,1294
2020-04-03,1164
2020-04-04,
2020-04-05,
2020-04-06,1724
2020-04-07,1276
2020-04-08,1142
2020-04-09,1109
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,2500
2020-04-15,1605
2020-04-16,1378
2020-04-17,1291
2020-04-18,
2020-04-19,
2020-04-20,2132
2020-04-21,1470
2020-04-22,1418
2020-04-23,1267
2020-04-24,1269
2020-04-25,552
2020-04-26,
2020-04-27,1784
2020-04-28,1451
2020-04-29,1453
2020-04-30,1313
2020-05-01,
2020-05-02,874
2020-05-03,
2020-05-04,2173
2020-05-05,1486
2020-05-06,1274
2020-05-07,1196
2020-05-08,1173
2020-05-09,517
2020-05-10,
2020-05-11,1763
2020-05-12,1441
2020-05-13,1387
2020-05-14,1397
2020-05-15,1293
2020-05-16,590
2020-05-17,
2020-05-18,1698
2020-05-19,1321
2020-05-20,1246
2020-05-21,
2020-05-22,1333
2020-05-23,628
2020-05-24,
2020-05-25,1900
2020-05-26,1475
2020-05-27,1302
2020-05-28,1350
2020-05-29,1261
2020-05-30,544
2020-05-31,
2020-06-01,
2020-06-02,1728
2020-06-03,1368
2020-06-04,1481
2020-06-05,1414
2020-06-06,652
2020-06-07,
2020-06-08,1987
2020-06-09,1374
2020-06-10,1335
2020-06-11,599
2020-06-12,1304
2020-06-13,449
2020-06-14,
2020-06-15,1839
2020-06-16,1454
2020-06-17,1348
2020-06-18,1323
2020-06-19,1198
2020-06-20,539
2020-06-21,
2020-06-22,1646
2020-06-23,1251
2020-06-24,1217
2020-06-25,1255
2020-06-26,1051
2020-06-27,470
2020-06-28,
2020-06-29,1792
2020-06-30,1375
2020-07-01,1340
2020-07-02,1251
2020-07-03,1207
2020-07-04,476
2020-07-05,
2020-07-06,1832
2020-07-07,1380
2020-07-08,1380
2020-07-09,1277
